signalKey,rubricId,predeterminedScore,answerText,reasoning
openQ1_causality_coherence_score,rubric.causality.v1,80,"While wrapping up my PhD in computer vision at IISc Bangalore, I spent a lot of time visiting district hospitals across Karnataka to collect data for my thesis. I went in thinking India had a severe lack of diagnostic hardware. But I was wrong. Government schemes had actually funded CT and MRI machines in many tier-2 and tier-3 towns. The real friction was that there were absolutely no radiologists to read the scans. A machine would sit there, a patient would get scanned, and the file would be emailed to a doctor in Bangalore who had a backlog of 400 scans. Patients were waiting weeks for a simple triage. The insight was clear: the bottleneck wasn't hardware anymore, it was the cognitive load on the few available specialists. I teamed up with two of my lab mates to start VoxelMed, building an AI triage layer that flags critical scans in minutes so the human doctor knows who to look at first.","Earns an 80. The causality chain is very strong and coherent: lived academic context -> surprising on-the-ground friction (hardware exists, doctors don't) -> clear insight -> startup. It misses a perfect 100 because the transition from the insight to building the actual startup skips over the commercial/business validation (how they convinced hospitals to pay for it), but the narrative flow of the problem-solution fit is highly believable and logically sound."
openQ1_causality_coherence_score,rubric.causality.v1,80,"For almost a decade, I was pushing MSME loans for a large NBFC across UP and Bihar. I was literally on the ground, talking to kirana store owners, small textile units, and distributors. I kept hitting the same wall: I would meet a merchant doing fantastic daily cash business, completely capable of repaying a 5-lakh loan, but our internal systems would reject him because he didn't have a formal CIBIL score or a pristine three-year IT return. It was incredibly frustrating as a sales guy to leave that money on the table. The turning point for me was when UPI started exploding. I realized that a merchant's daily QR code scans and digital supplier payments told a much more accurate story of their creditworthiness than a traditional bank statement. I left my job, partnered with a tech lead from Paytm, and we built VyaparCredit to underwrite these exact 'new-to-credit' merchants using alternative data algorithms.","Earns an 80. Excellent lived context from a sales-heavy persona. The friction (leaving money on the table due to rigid legacy systems) directly triggers the insight (UPI data is better than CIBIL). It loses a few points because the leap to an 'AI/algorithm' startup is slightly rushed—it explains the data source well but glosses over the specific AI/tech mechanism they used to solve it. Still, a highly coherent business causality chain."
openQ1_causality_coherence_score,rubric.causality.v1,80,"I was an early DevOps hire at a Bangalore-based e-commerce unicorn. Between 2017 and 2020, I watched our AWS bills absolutely explode, literally doubling every few months. The finance team would scream at engineering, and we'd spend weeks manually tagging resources and trying to figure out which microservice was burning cash. We bought a couple of third-party cloud management tools, but they just gave us passive dashboards. The 'aha' moment for me was realizing that cloud waste isn't a finance problem, it's an engineering behavior problem. If you don't catch a developer spinning up an expensive cluster at the exact moment they do it, you've already lost the money. I realized we needed a proactive, automated way to govern infrastructure as code. That's why I started InfraGuard—we use machine learning to predict cost anomalies at the pull-request stage, before the code is even deployed.","Earns an 80. The technical persona shines through, and the chain from lived context (DevOps at a unicorn) -> friction (exploding bills, manual tagging) -> insight (it's a behavioral problem, not a dashboard problem) is excellent. It scores an 80 rather than a 90+ because the final jump to 'using machine learning' feels slightly like a bolted-on buzzword to solve a DevOps problem, even though the overall narrative makes perfect logical sense."
openQ1_causality_coherence_score,rubric.causality.v1,80,"I was heading supply chain operations for a major grapes and pomegranate exporter out of Nashik for about six years. Every summer was a complete nightmare. We were losing almost 18% of our perishables in transit to ports. We had temperature sensors in the trucks, but they were completely reactive. A driver would turn off the reefer unit to save diesel, the temperature would spike, and we would only find out when the shipment reached Mumbai and was already rotting. I realized that giving transporters historical data was useless; they needed predictive alerts to intervene before the spoilage crossed the point of no return. I didn't have a tech background, so I found a co-founder who had worked in IoT and predictive analytics at Bosch. Together, we launched FreshRoute AI to create a dynamic routing and predictive temperature monitoring system for the cold chain.","Earns an 80. A very grounded, operations-focused narrative. The lived context (Nashik exporter) directly informs the friction (drivers turning off reefers, reactive sensors). The insight (historical data is useless for perishables) perfectly tees up the startup. It gets an 80 because the narrative is quite straightforward and a bit traditional for IoT/Agritech; it lacks a deeply profound 'secret' insight, but executes the standard causality chain flawlessly."
openQ1_causality_coherence_score,rubric.causality.v1,30,"I did my MBA at IIM Bangalore and spent 5 years in FMCG sales at HUL. I was always looking for the next big wave to start my own company. During COVID, I read a lot of reports from McKinsey and Bain about how telemedicine and AI are going to completely revolutionize Indian healthcare. Everyone was talking about the doctor-patient ratio in India being skewed and how much money is pouring into the sector. So, I decided to pivot completely out of FMCG. I hired a couple of freelance developers from Bengaluru and we built Med-AI, a generative AI chatbot for hospitals to automate their front desk. The market size is huge, and I know how to scale distribution and manage B2B sales.","Earns a 30 because the causality chain is completely broken. The founder's lived context (FMCG sales) has zero connection to the friction (healthcare doctor-patient ratios). There is no unique, earned insight—just a reliance on generic consulting reports and a desire to chase a lucrative market trend. The jump to the startup is opportunistic rather than organic."
openQ1_causality_coherence_score,rubric.causality.v1,30,"I have a PhD in Computer Vision from IIT Kanpur, where my thesis was on hyperspectral image classification using deep learning. I spent years optimizing neural networks for satellite imagery to make them run faster on edge devices. After graduating, I really wanted to apply my algorithms to a real-world problem instead of just publishing papers. Agriculture in India is obviously very important, and I know farmers face a lot of issues with weather and pests. So, we started AgriVision. We use drone footage and my proprietary AI models to predict crop yield. We basically built the platform because the math was very elegant and my algorithms are much faster than existing solutions on the market.","Earns a 30 because it represents a classic 'hammer looking for a nail' scenario. While the technical background is strong, there is absolutely no lived context or firsthand experience with the actual friction (agricultural challenges). The 'insight' is purely technical rather than user-centric, breaking the narrative chain between real-world problem and the startup's existence."
openQ1_causality_coherence_score,rubric.causality.v1,30,"I worked at TCS for 12 years managing database migrations for various banking clients across Mumbai and Pune. Over time, I noticed that banks have a lot of data and things are generally quite slow and manual when it comes to loan processing. It was just very inefficient and outdated. Because AI is the future and LLMs are becoming so powerful now, I realized we could do things much better. So I left my comfortable job in 2022 and launched FinFlow AI to disrupt the lending space. We use AI to make loan approvals faster and help banks save money.","Earns a 30 because while there is a slight connection between the background (IT for banks) and the industry (Fintech), the friction observed is incredibly vague ('things are slow and manual'). There is no specific, deep insight into *why* it's broken or *how* to fix it uniquely. The transition to the startup relies on the generic buzzword premise that 'AI is the future' rather than a coherent logical progression."
openQ1_causality_coherence_score,rubric.causality.v1,30,"Before this, I ran a digital marketing agency in Delhi, and before that, I had a brief stint running an e-commerce store for customized t-shirts. I've always been a serial entrepreneur at heart, always hustling. Recently, with ChatGPT coming out, I realized that B2B sales is completely broken. Sales reps waste too much time writing emails and doing follow-ups. I saw this AI tool on Product Hunt doing something similar for the US market and raising a lot of funding, so I thought, why not build a localized AI sales copilot for Indian MSMEs? That's how we started SellBot. We just integrated the OpenAI API and now we are aggressively pitching to clients in NCR.","Earns a 30 because the narrative lacks any authentic lived context leading to the problem. The founder jumps from marketing/e-commerce to B2B sales software simply because they saw a successful clone on Product Hunt. The friction is a generic observation, and the insight is entirely borrowed. The chain of causality from personal experience to startup creation is non-existent."
openQ1_causality_coherence_score,rubric.causality.v1,10,"I did my PhD in computer vision at IIT Madras, mostly working on satellite imagery and topographical mapping. AI is obviously the future, and everyone knows healthcare in India is completely broken. The market size for health-tech in India is projected to hit $50 billion soon. So my batchmate and I decided to build MedVision. We are using GenAI and advanced LLMs to revolutionize patient outcomes. I read a lot of papers on medical imaging during the pandemic, and we basically realized we could just apply our satellite mapping algorithms to MRI scans. It's a massive total addressable market and hospitals really need it.","Earns a 10/100 because there is absolutely no logical causality chain. The founder's lived context (satellite imagery) has zero connection to the problem space (healthcare). There is no lived friction or deep insight; they are simply chasing a large TAM ($50 billion) and retrofitting an existing technology (satellite algorithms) onto a completely different industry based on reading papers, not experiencing a real-world problem."
openQ1_causality_coherence_score,rubric.causality.v1,10,"Look, I've been in software sales for 10 years, mostly selling legacy ERP systems to manufacturing hubs in Gujarat and Maharashtra. But during the 2021 bull run, I saw all these crypto, neo-banking, and stock-broking apps getting massive funding. I realized fintech is where the real valuation multiples are. UPI has changed everything in India, right? So I got together with my cousin who is a Python developer, and we started FinFlow. It's an AI-driven wealth management platform for Gen Z. We are basically democratizing finance. The idea is to acquire users fast through Instagram meme pages and then figure out the monetization later.","Earns a 10/100 because the narrative is purely opportunistic and trend-chasing. The lived context (ERP sales to manufacturers) does not lead to the friction (wealth management for Gen Z). The 'insight' is just observing that fintech gets funded and UPI is popular. There is no genuine connection to the startup's mission, showing a completely broken causality chain."
